# How to identify MacBook Pro models
# Taken from http://support.apple.com/kb/ht4132

### MacBook Pro 13-inch

MacBook Pro (Retina, 13-inch, Late 2013)	MacBookPro11,1
MacBook Pro (Retina, 13-inch, Early 2013)	MacBookPro10,2	
MacBook Pro (Retina, 13-inch, Late 2012)	MacBookPro10,2	
MacBook Pro (13-inch, Mid 2012)	MacBookPro9,2	

# Conflict here - same model number, suggest 13-inch, 2011
MacBook Pro (13-inch, Late 2011)	MacBookPro8,1	
MacBook Pro (13-inch, Early 2011)	MacBookPro8,1	
MacBook Pro (13-inch, Mid 2010)	MacBookPro7,1	
MacBook Pro (13-inch, Mid 2009)	MacBookPro5,5	

### MacBook Pro 15-inch

# Spaces? Appears in the document. Have to test on real machine
MacBook Pro (Retina, 15-inch, Late 2013)	
    MacBook Pro11,2 || MacBook Pro11,3

MacBook Pro (Retina, 15-inch, Early 2013)	MacBookPro10,1		
MacBook Pro (Retina, Mid 2012)	MacBookPro10,1	
MacBook Pro (15-inch, Mid 2012)	MacBookPro9,1	
MacBook Pro (15-inch, Late 2011)	MacBookPro8,2	
MacBook Pro (15-Inch, Early 2011)	MacBookPro8,2	
MacBook Pro (15-inch, Mid 2010)	MacBookPro6,2	
MacBook Pro (15-inch, Mid 2009)	MacBookPro5,3	
MacBook Pro (15-inch, 2.53GHz, Mid 2009)	MacBookPro5,3	
MacBook Pro (15-inch, Late 2008)	MacBookPro5,1	
MacBook Pro (15-inch, Early 2008)	MacBookPro4,1	
MacBook Pro (15-inch, 2.4/2.2 GHz)	MacBookPro3,1	
MacBook Pro (15-inch, Core 2 Duo)	MacBookPro2,2	
MacBook Pro (15-inch, Glossy)	MacBookPro1,1	

### MacBook Pro (17-inch)

MacBook Pro (17-inch, Late 2011)	MacBookPro8,3	
MacBook Pro (17-inch, Early 2011)	MacBookPro8,3	
MacBook Pro (17-inch, Mid 2010)	MacBookPro6,1	
MacBook Pro (17-inch, Mid 2009)	MacBookPro5,2	
MacBook Pro (17-inch, Early 2009)	MacBookPro5,2	
MacBook Pro (17-inch, Late 2008)	MacBookPro5,1
MacBook Pro (17-inch, Early 2008)	MacBookPro4,1
MacBook Pro (17-inch, 2.4 GHz, Late 2007)	MacBookPro3,1	
MacBook Pro (17-inch, Core 2 Duo)	MacBookPro2,1	
MacBook Pro (17-inch)	MacBookPro1,2	



# How to identify MacBook Air models
# Taken from http://support.apple.com/kb/ht3255

MacBook Air (13-inch, Mid 2013)	MacBookAir6,2	
MacBook Air (11-inch, Mid 2013)	MacBookAir6,1	
MacBook Air (13-inch, Mid 2012)	MacBookAir5,2	
MacBook Air (11-inch, Mid 2012)	MacBookAir5,1	
MacBook Air (13-inch, Mid 2011)	MacBookAir4,2	
MacBook Air (11-inch, Mid 2011)	MacBookAir4,1	
MacBook Air (13-inch, Late 2010)	MacBookAir3,2	
# Typo here suggests spacing above is accidental
MacBook AIr (11-Inch, Late 2010)	MacBookAir3,1 	
MacBook Air (13-inch, Mid 2009)	MacBookAir2,1	
MacBook Air (13-inch, Late 2008)	MacBookAir2,1 	
MacBook Air (13-inch, Early 2008)	MacBookAir1,1	



# How to identify iMac models
# Taken from http://support.apple.com/kb/ht1758
iMac (21.5-inch, Late 2013)	 iMac14,1	ME086XX/A
iMac (21.5-inch, Late 2013)	 iMac14,1	ME087XX/A
iMac (27-inch, Late 2013)	 iMac14,2	ME088XX/A
iMac (27-inch, Late 2013)	 iMac14,2	ME089XX/A
iMac (21.5-inch, Late 2012)	 iMac13,1	MD093XX/A
iMac (21.5-inch, Late 2012)	 iMac13,1	MD094XX/A
iMac (27-inch, Late 2012)	 iMac13,2	MD095XX/A
iMac (27-inch, Late 2012)	 iMac13,2	MD096XX/A
iMac (21.5-inch, Mid 2011)	 iMac12,1	MC309XX/A
iMac (21.5-inch, Mid 2011)	 iMac12,1	MC812XX/A
iMac (27-inch, Mid 2011)	 iMac12,2	MC813XX/A
iMac (27-inch, Mid 2011)	 iMac12,2	MC814XX/A
iMac (21.5-inch, Mid 2010)	 iMac11,2	MC508XX/A
iMac (21.5-inch, Mid 2010)	 iMac11,2	MC509XX/A
iMac (27-inch, Mid 2010)	 iMac11,3	MC510XX/A
iMac (27-inch, Mid 2010)	 iMac11,3	MC511XX/A
iMac (21.5-inch, Late 2009)	iMac10,1	MB950XX/A
iMac (21.5-inch, Late 2009)	iMac10,1	MC413XX/A
iMac (27-inch, Late 2009)	iMac10,1	MB952XX/A
iMac (27-inch, Late 2009)	iMac11,1	MB953XX/A
iMac (20-inch, Early 2009)	iMac9,1	MB417XX/A
iMac (20-inch, Early 2009)	iMac9,1	MC019XX/A
iMac (24-inch, Early 2009)	iMac9,1	MB418XX/A
iMac (24-inch, Early 2009)	iMac9,1	MB419XX/A
iMac (24-inch, Early 2009)	iMac9,1	MB420XX/A
iMac (24-inch, Early 2009)	iMac9,1	MC020XX/A
iMac (24-inch, Early 2009)	iMac9,1	MC021XX/A
iMac (24-inch, Early 2009)	iMac9,1	MC022XX/A
iMac (20-inch, Early 2008)	 iMac8,1	MB323XX/A
iMac (20-inch, Early 2008)	 iMac8,1	MB324XX/A
iMac (24-inch, Early 2008)	 iMac8,1	MB325XX/A
